1	->	2
1	->	3
1	->	4
1	->	5
1	->	6
1	->	7
1	->	8
1	->	9
1	->	17
1	->	25
1	->	33
1	->	41
1	->	49
1	->	57
2	->	1
2	->	3
2	->	4
2	->	5
2	->	6
2	->	7
2	->	8
2	->	10
2	->	18
2	->	26
2	->	34
2	->	42
2	->	50
2	->	58
3	->	1
3	->	2
3	->	4
3	->	5
3	->	6
3	->	7
3	->	8
3	->	11
3	->	19
3	->	27
3	->	35
3	->	43
3	->	51
3	->	59
4	->	1
4	->	2
4	->	3
4	->	5
4	->	6
4	->	7
4	->	8
4	->	12
4	->	20
4	->	28
4	->	36
4	->	44
4	->	52
4	->	60
5	->	1
5	->	2
5	->	3
5	->	4
5	->	6
5	->	7
5	->	8
5	->	13
5	->	21
5	->	29
5	->	37
5	->	45
5	->	53
5	->	61
6	->	1
6	->	2
6	->	3
6	->	4
6	->	5
6	->	7
6	->	8
6	->	14
6	->	22
6	->	30
6	->	38
6	->	46
6	->	54
6	->	62
7	->	1
7	->	2
7	->	3
7	->	4
7	->	5
7	->	6
7	->	8
7	->	15
7	->	23
7	->	31
7	->	39
7	->	47
7	->	55
7	->	63
8	->	1
8	->	2
8	->	3
8	->	4
8	->	5
8	->	6
8	->	7
8	->	16
8	->	24
8	->	32
8	->	40
8	->	48
8	->	56
8	->	64
9	->	1
9	->	10
9	->	11
9	->	12
9	->	13
9	->	14
9	->	15
9	->	16
9	->	17
9	->	25
9	->	33
9	->	41
9	->	49
9	->	57
10	->	2
10	->	9
10	->	11
10	->	12
10	->	13
10	->	14
10	->	15
10	->	16
10	->	18
10	->	26
10	->	34
10	->	42
10	->	50
10	->	58
11	->	3
11	->	9
11	->	10
11	->	12
11	->	13
11	->	14
11	->	15
11	->	16
11	->	19
11	->	27
11	->	35
11	->	43
11	->	51
11	->	59
12	->	4
12	->	9
12	->	10
12	->	11
12	->	13
12	->	14
12	->	15
12	->	16
12	->	20
12	->	28
12	->	36
12	->	44
12	->	52
12	->	60
13	->	5
13	->	9
13	->	10
13	->	11
13	->	12
13	->	14
13	->	15
13	->	16
13	->	21
13	->	29
13	->	37
13	->	45
13	->	53
13	->	61
14	->	6
14	->	9
14	->	10
14	->	11
14	->	12
14	->	13
14	->	15
14	->	16
14	->	22
14	->	30
14	->	38
14	->	46
14	->	54
14	->	62
15	->	7
15	->	9
15	->	10
15	->	11
15	->	12
15	->	13
15	->	14
15	->	16
15	->	23
15	->	31
15	->	39
15	->	47
15	->	55
15	->	63
16	->	8
16	->	9
16	->	10
16	->	11
16	->	12
16	->	13
16	->	14
16	->	15
16	->	24
16	->	32
16	->	40
16	->	48
16	->	56
16	->	64
17	->	1
17	->	9
17	->	18
17	->	19
17	->	20
17	->	21
17	->	22
17	->	23
17	->	24
17	->	25
17	->	33
17	->	41
17	->	49
17	->	57
18	->	2
18	->	10
18	->	17
18	->	19
18	->	20
18	->	21
18	->	22
18	->	23
18	->	24
18	->	26
18	->	34
18	->	42
18	->	50
18	->	58
19	->	3
19	->	11
19	->	17
19	->	18
19	->	20
19	->	21
19	->	22
19	->	23
19	->	24
19	->	27
19	->	35
19	->	43
19	->	51
19	->	59
20	->	4
20	->	12
20	->	17
20	->	18
20	->	19
20	->	21
20	->	22
20	->	23
20	->	24
20	->	28
20	->	36
20	->	44
20	->	52
20	->	60
21	->	5
21	->	13
21	->	17
21	->	18
21	->	19
21	->	20
21	->	22
21	->	23
21	->	24
21	->	29
21	->	37
